Time_GMT	Temp_C
2/2/2006 5:15	20.55
2/2/2006 5:30	20.55
2/2/2006 5:45	20.55
2/2/2006 6:00	20.55
2/2/2006 6:15	20.55
2/2/2006 6:30	20.86
2/2/2006 6:45	21.17
2/2/2006 7:00	21.17
2/2/2006 7:15	21.47
2/2/2006 7:30	23.36
2/2/2006 7:45	25.93
2/2/2006 8:00	26.58
2/2/2006 8:15	27.24
2/2/2006 8:30	26.92
2/2/2006 8:45	24.63
2/2/2006 9:00	23.99
2/2/2006 9:15	24.31
2/2/2006 9:30	24.63
2/2/2006 9:45	23.99
2/2/2006 10:00	23.04
2/2/2006 10:15	22.41
2/2/2006 10:30	21.78
2/2/2006 10:45	21.17
2/2/2006 11:00	20.86
2/2/2006 11:15	20.55
2/2/2006 11:30	20.25
2/2/2006 11:45	20.25
2/2/2006 12:00	20.25
2/2/2006 12:15	20.25
2/2/2006 12:30	20.25
2/2/2006 12:45	19.94
2/2/2006 13:00	19.94
2/2/2006 13:15	19.94
2/2/2006 13:30	19.94
2/2/2006 13:45	19.94
2/2/2006 14:00	19.94
2/2/2006 14:15	19.94
2/2/2006 14:30	19.94
2/2/2006 14:45	19.94
2/2/2006 15:00	19.64
2/2/2006 15:15	19.64
2/2/2006 15:30	19.64
2/2/2006 15:45	19.94
2/2/2006 16:00	19.94
2/2/2006 16:15	19.94
2/2/2006 16:30	19.94
2/2/2006 16:45	19.94
2/2/2006 17:00	19.94
2/2/2006 17:15	20.25
2/2/2006 17:30	20.25
2/2/2006 17:45	20.25
2/2/2006 18:00	20.25
2/2/2006 18:15	19.94
2/2/2006 18:30	19.94
2/2/2006 18:45	19.94
2/2/2006 19:00	19.94
2/2/2006 19:15	19.64
2/2/2006 19:30	19.64
2/2/2006 19:45	19.64
2/2/2006 20:00	19.64
2/2/2006 20:15	19.64
2/2/2006 20:30	19.64
2/2/2006 20:45	19.64
2/2/2006 21:00	19.64
2/2/2006 21:15	19.64
2/2/2006 21:30	19.94
2/2/2006 21:45	20.55
2/2/2006 22:00	22.1
2/2/2006 22:15	25.28
2/2/2006 22:30	28.93
2/2/2006 22:45	31.37
2/2/2006 23:00	28.59
2/2/2006 23:15	27.24
2/2/2006 23:30	26.92
