Time_GMT	Temp_C
5/23/2015 17:03	19.32
5/23/2015 17:13	19.93
5/23/2015 17:23	22.06
5/23/2015 17:33	25.03
5/23/2015 17:43	25.93
5/23/2015 17:53	26.48
5/23/2015 18:03	26.89
5/23/2015 18:13	27.03
5/23/2015 18:23	27.52
5/23/2015 18:33	28.09
5/23/2015 18:43	28.36
5/23/2015 18:53	27.97
5/23/2015 19:03	28.22
5/23/2015 19:13	28.24
5/23/2015 19:23	28.32
5/23/2015 19:33	28.22
5/23/2015 19:43	27.63
5/23/2015 19:53	24.08
5/23/2015 20:03	21.4
5/23/2015 20:13	19.47
5/23/2015 20:23	17.98
5/23/2015 20:33	16.96
5/23/2015 20:43	16.2
5/23/2015 20:53	15.53
5/23/2015 21:03	15.2
5/23/2015 21:13	14.89
5/23/2015 21:23	14.79
5/23/2015 21:33	14.62
5/23/2015 21:43	14.65
5/23/2015 21:53	14.51
5/23/2015 22:03	14.52
5/23/2015 22:13	14.22
5/23/2015 22:23	14.25
5/23/2015 22:33	14.24
5/23/2015 22:43	14.22
5/23/2015 22:53	14.1
5/23/2015 23:03	13.83
5/23/2015 23:13	13.86
5/23/2015 23:23	13.77
5/23/2015 23:33	13.75
5/23/2015 23:43	13.74
5/23/2015 23:53	13.79
5/24/2015 0:03	13.78
5/24/2015 0:13	13.57
5/24/2015 0:23	13.66
5/24/2015 0:33	13.51
5/24/2015 0:43	13.51
5/24/2015 0:53	13.5
5/24/2015 1:03	13.6
5/24/2015 1:13	13.47
5/24/2015 1:23	13.47
5/24/2015 1:33	13.59
5/24/2015 1:43	13.44
5/24/2015 1:53	13.44
5/24/2015 2:03	13.23
5/24/2015 2:13	13.09
5/24/2015 2:23	13.01
5/24/2015 2:33	12.79
5/24/2015 2:43	12.74
5/24/2015 2:53	12.73
5/24/2015 3:03	12.56
5/24/2015 3:13	12.47
5/24/2015 3:23	12.22
5/24/2015 3:33	12.11
5/24/2015 3:43	11.96
5/24/2015 3:53	11.82
5/24/2015 4:03	11.68
5/24/2015 4:13	11.73
5/24/2015 4:23	11.61
5/24/2015 4:33	11.56
5/24/2015 4:43	11.58
5/24/2015 4:53	11.47
5/24/2015 5:03	11.42
5/24/2015 5:13	11.46
5/24/2015 5:23	11.39
5/24/2015 5:33	11.35
5/24/2015 5:43	11.3
5/24/2015 5:53	11.32
5/24/2015 6:03	11.3
5/24/2015 6:13	11.24
5/24/2015 6:23	11.31
5/24/2015 6:33	11.3
5/24/2015 6:43	11.22
5/24/2015 6:53	11.22
5/24/2015 7:03	11.2
5/24/2015 7:13	11.18
5/24/2015 7:23	11.21
5/24/2015 7:33	11.12
5/24/2015 7:43	11.09
5/24/2015 7:53	11.01
5/24/2015 8:03	11.05
5/24/2015 8:13	11.05
5/24/2015 8:23	11.06
5/24/2015 8:33	11.03
5/24/2015 8:43	11.05
5/24/2015 8:53	11.01
5/24/2015 9:03	11
5/24/2015 9:13	10.97
5/24/2015 9:23	10.94
5/24/2015 9:33	10.97
5/24/2015 9:43	10.96
5/24/2015 9:53	10.93
5/24/2015 10:03	10.93
5/24/2015 10:13	10.93
5/24/2015 10:23	10.9
5/24/2015 10:33	10.92
5/24/2015 10:43	10.92
5/24/2015 10:53	10.9
5/24/2015 11:03	10.9
5/24/2015 11:13	10.94
5/24/2015 11:23	10.95
5/24/2015 11:33	10.94
5/24/2015 11:43	10.94
5/24/2015 11:53	10.94
5/24/2015 12:03	10.85
5/24/2015 12:13	10.82
5/24/2015 12:23	10.77
5/24/2015 12:33	10.75
5/24/2015 12:43	10.65
5/24/2015 12:53	10.59
5/24/2015 13:03	10.55
5/24/2015 13:13	10.45
5/24/2015 13:23	10.48
5/24/2015 13:33	10.49
5/24/2015 13:43	10.92
5/24/2015 13:53	11.92
5/24/2015 14:03	13
5/24/2015 14:13	13.99
5/24/2015 14:23	15.01
5/24/2015 14:33	15.94
5/24/2015 14:43	16.73
5/24/2015 14:53	17.32
5/24/2015 15:03	16.96
5/24/2015 15:13	17.55
5/24/2015 15:23	17.74
5/24/2015 15:33	17.71
5/24/2015 15:43	17.68
5/24/2015 15:53	19.93
5/24/2015 16:03	22.09
5/24/2015 16:13	23.12
5/24/2015 16:23	21.25
5/24/2015 16:33	21.56
5/24/2015 16:43	22.42
5/24/2015 16:53	23.62
5/24/2015 17:03	23.85
5/24/2015 17:13	24.01
5/24/2015 17:23	24.63
5/24/2015 17:33	26.15
5/24/2015 17:43	27.12
5/24/2015 17:53	27.48
5/24/2015 18:03	28.15
5/24/2015 18:13	28.35
5/24/2015 18:23	28.75
5/24/2015 18:33	29.04
5/24/2015 18:43	29.38
5/24/2015 18:53	29.65
5/24/2015 19:03	30.14
5/24/2015 19:13	30.57
5/24/2015 19:23	30.97
5/24/2015 19:33	31.06
5/24/2015 19:43	31.06
5/24/2015 19:53	31.37
5/24/2015 20:03	31.94
5/24/2015 20:13	32.4
5/24/2015 20:23	31.21
5/24/2015 20:33	26.81
5/24/2015 20:43	22.35
5/24/2015 20:53	19.54
5/24/2015 21:03	17.6
5/24/2015 21:13	16.46
5/24/2015 21:23	15.55
5/24/2015 21:33	15.03
5/24/2015 21:43	14.72
5/24/2015 21:53	14.5
5/24/2015 22:03	14.54
5/24/2015 22:13	14.41
5/24/2015 22:23	14.24
5/24/2015 22:33	14.2
5/24/2015 22:43	14.28
5/24/2015 22:53	14.27
5/24/2015 23:03	14.13
5/24/2015 23:13	13.99
5/24/2015 23:23	13.87
5/24/2015 23:33	13.77
5/24/2015 23:43	13.48
5/24/2015 23:53	13.64
5/25/2015 0:03	13.62
5/25/2015 0:13	13.5
5/25/2015 0:23	13.47
5/25/2015 0:33	13.65
5/25/2015 0:43	13.76
5/25/2015 0:53	13.61
5/25/2015 1:03	13.73
5/25/2015 1:13	13.64
5/25/2015 1:23	13.51
5/25/2015 1:33	13.6
5/25/2015 1:43	13.48
5/25/2015 1:53	13.49
5/25/2015 2:03	13.39
5/25/2015 2:13	13.22
5/25/2015 2:23	13.18
5/25/2015 2:33	13.09
5/25/2015 2:43	13.06
5/25/2015 2:53	12.99
5/25/2015 3:03	12.95
5/25/2015 3:13	12.93
5/25/2015 3:23	12.85
5/25/2015 3:33	12.83
5/25/2015 3:43	12.7
5/25/2015 3:53	12.75
5/25/2015 4:03	12.62
5/25/2015 4:13	12.59
5/25/2015 4:23	12.62
5/25/2015 4:33	12.54
5/25/2015 4:43	12.6
5/25/2015 4:53	12.47
5/25/2015 5:03	12.5
5/25/2015 5:13	12.34
5/25/2015 5:23	12.34
5/25/2015 5:33	12.2
5/25/2015 5:43	12.32
5/25/2015 5:53	12.33
5/25/2015 6:03	12.34
5/25/2015 6:13	12.35
5/25/2015 6:23	12.33
5/25/2015 6:33	12.46
5/25/2015 6:43	12.48
5/25/2015 6:53	12.49
5/25/2015 7:03	12.51
5/25/2015 7:13	12.58
5/25/2015 7:23	12.61
5/25/2015 7:33	12.61
5/25/2015 7:43	12.58
5/25/2015 7:53	12.58
5/25/2015 8:03	12.58
5/25/2015 8:13	12.59
5/25/2015 8:23	12.56
5/25/2015 8:33	12.56
5/25/2015 8:43	12.62
5/25/2015 8:53	12.6
5/25/2015 9:03	12.63
5/25/2015 9:13	12.68
5/25/2015 9:23	12.67
5/25/2015 9:33	12.72
5/25/2015 9:43	12.7
5/25/2015 9:53	12.59
5/25/2015 10:03	12.63
5/25/2015 10:13	12.58
5/25/2015 10:23	12.62
5/25/2015 10:33	12.58
5/25/2015 10:43	12.58
