Time_GMT	Temp_C
5/20/2015 5:52	15.74
5/20/2015 6:02	15.79
5/20/2015 6:12	15.8
5/20/2015 6:22	15.81
5/20/2015 6:32	15.81
5/20/2015 6:42	15.82
5/20/2015 6:52	15.82
5/20/2015 7:02	15.82
5/20/2015 7:12	15.77
5/20/2015 7:22	15.91
5/20/2015 7:32	15.82
5/20/2015 7:42	15.95
5/20/2015 7:52	15.88
5/20/2015 8:02	15.79
5/20/2015 8:12	15.82
5/20/2015 8:22	15.83
5/20/2015 8:32	15.66
5/20/2015 8:42	15.54
5/20/2015 8:52	15.55
5/20/2015 9:02	15.41
5/20/2015 9:12	15.44
5/20/2015 9:22	15.42
5/20/2015 9:32	15.32
5/20/2015 9:42	15.24
5/20/2015 9:52	15.23
5/20/2015 10:02	15.21
5/20/2015 10:12	14.72
5/20/2015 10:22	14.31
5/20/2015 10:32	14.11
5/20/2015 10:42	13.95
5/20/2015 10:52	13.63
5/20/2015 11:02	13.56
5/20/2015 11:12	13.3
5/20/2015 11:22	13.02
5/20/2015 11:32	12.82
5/20/2015 11:42	12.79
5/20/2015 11:52	12.81
5/20/2015 12:02	12.77
5/20/2015 12:12	12.7
5/20/2015 12:22	12.67
5/20/2015 12:32	12.66
5/20/2015 12:42	12.55
5/20/2015 12:52	12.54
5/20/2015 13:02	12.45
5/20/2015 13:12	12.54
5/20/2015 13:22	12.55
5/20/2015 13:32	12.66
5/20/2015 13:42	12.66
5/20/2015 13:52	12.8
5/20/2015 14:02	12.91
5/20/2015 14:12	12.99
5/20/2015 14:22	14
5/20/2015 14:32	16.12
5/20/2015 14:42	18.09
5/20/2015 14:52	17.16
5/20/2015 15:02	16.06
5/20/2015 15:12	15.57
5/20/2015 15:22	16.61
5/20/2015 15:32	19.11
5/20/2015 15:42	20.72
5/20/2015 15:52	22.02
5/20/2015 16:02	22.26
5/20/2015 16:12	21.26
5/20/2015 16:22	22.86
5/20/2015 16:32	23.82
5/20/2015 16:42	24.53
5/20/2015 16:52	25.28
5/20/2015 17:02	25.79
5/20/2015 17:12	24.15
5/20/2015 17:22	19.04
5/20/2015 17:32	17.09
5/20/2015 17:42	16.22
5/20/2015 17:52	15.94
5/20/2015 18:02	15.85
5/20/2015 18:12	15.69
5/20/2015 18:22	15.78
5/20/2015 18:32	15.69
5/20/2015 18:42	15.81
5/20/2015 18:52	15.78
5/20/2015 19:02	15.74
5/20/2015 19:12	15.76
5/20/2015 19:22	15.81
5/20/2015 19:32	15.77
5/20/2015 19:42	16.01
5/20/2015 19:52	16.06
5/20/2015 20:02	16.02
5/20/2015 20:12	16.06
5/20/2015 20:22	16.18
5/20/2015 20:32	16.39
5/20/2015 20:42	16.3
5/20/2015 20:52	16.45
5/20/2015 21:02	16.38
5/20/2015 21:12	16.57
5/20/2015 21:22	16.75
5/20/2015 21:32	16.86
5/20/2015 21:42	16.87
5/20/2015 21:52	16.95
5/20/2015 22:02	16.99
5/20/2015 22:12	17.07
5/20/2015 22:22	17.12
5/20/2015 22:32	17.19
5/20/2015 22:42	17.19
5/20/2015 22:52	17.19
5/20/2015 23:02	17.19
5/20/2015 23:12	17.24
5/20/2015 23:22	17.27
5/20/2015 23:32	17.17
5/20/2015 23:42	17.22
5/20/2015 23:52	17.19
5/21/2015 0:02	17.25
5/21/2015 0:12	17.28
5/21/2015 0:22	17.28
5/21/2015 0:32	17.23
5/21/2015 0:42	17.25
5/21/2015 0:52	17.21
5/21/2015 1:02	17.07
5/21/2015 1:12	16.99
5/21/2015 1:22	16.91
5/21/2015 1:32	16.71
5/21/2015 1:42	16.57
5/21/2015 1:52	16.38
5/21/2015 2:02	16.45
5/21/2015 2:12	16.26
5/21/2015 2:22	16.31
5/21/2015 2:32	16.14
5/21/2015 2:42	16.18
5/21/2015 2:52	16
5/21/2015 3:02	16.05
5/21/2015 3:12	16.09
5/21/2015 3:22	16.06
5/21/2015 3:32	16.04
5/21/2015 3:42	15.96
5/21/2015 3:52	15.91
5/21/2015 4:02	15.9
5/21/2015 4:12	15.91
5/21/2015 4:22	15.93
5/21/2015 4:32	15.86
5/21/2015 4:42	15.93
5/21/2015 4:52	15.92
5/21/2015 5:02	15.88
5/21/2015 5:12	15.74
5/21/2015 5:22	15.82
