Time_GMT	Temp_C
1/1/2008 0:00	8.668
1/1/2008 0:10	8.693
1/1/2008 0:20	8.668
1/1/2008 0:30	8.668
1/1/2008 0:40	8.717
1/1/2008 0:50	8.568
1/1/2008 1:00	8.643
1/1/2008 1:10	8.668
1/1/2008 1:20	8.668
1/1/2008 1:30	8.668
1/1/2008 1:40	8.643
1/1/2008 1:50	8.693
1/1/2008 2:00	8.717
1/1/2008 2:10	8.717
1/1/2008 2:20	8.668
1/1/2008 2:30	8.643
1/1/2008 2:40	8.643
1/1/2008 2:50	8.668
1/1/2008 3:00	8.668
1/1/2008 3:10	8.693
1/1/2008 3:20	8.668
1/1/2008 3:30	8.543
1/1/2008 3:40	8.419
1/1/2008 3:50	8.568
1/1/2008 4:00	8.593
1/1/2008 4:10	8.369
1/1/2008 4:20	7.72
1/1/2008 4:30	7.87
1/1/2008 4:40	7.945
1/1/2008 4:50	6.99
1/1/2008 5:00	7.066
1/1/2008 5:10	6.484
1/1/2008 5:20	6.179
1/1/2008 5:30	5.898
1/1/2008 5:40	6.687
1/1/2008 5:50	5.847
1/1/2008 6:00	5.437
1/1/2008 6:10	5.231
1/1/2008 6:20	5.179
1/1/2008 6:30	5.154
1/1/2008 6:40	5.128
1/1/2008 6:50	5.102
1/1/2008 7:00	5.076
1/1/2008 7:10	5.128
1/1/2008 7:20	5.231
1/1/2008 7:30	5.257
1/1/2008 7:40	5.282
1/1/2008 7:50	5.308
1/1/2008 8:00	5.334
1/1/2008 8:10	5.488
1/1/2008 8:20	5.591
1/1/2008 8:30	5.591
1/1/2008 8:40	5.591
1/1/2008 8:50	5.745
1/1/2008 9:00	5.898
1/1/2008 9:10	5.872
1/1/2008 9:20	5.719
1/1/2008 9:30	5.616
1/1/2008 9:40	5.591
1/1/2008 9:50	5.539
1/1/2008 10:00	6.179
1/1/2008 10:10	6
1/1/2008 10:20	5.539
1/1/2008 10:30	5.385
1/1/2008 10:40	5.796
1/1/2008 10:50	6.433
1/1/2008 11:00	6.813
1/1/2008 11:10	7.242
1/1/2008 11:20	7.92
1/1/2008 11:30	8.195
1/1/2008 11:40	8.22
1/1/2008 11:50	8.195
1/1/2008 12:00	8.444
1/1/2008 12:10	8.593
1/1/2008 12:20	8.568
1/1/2008 12:30	8.618
1/1/2008 12:40	8.668
1/1/2008 12:50	8.693
1/1/2008 13:00	8.668
1/1/2008 13:10	8.742
1/1/2008 13:20	8.742
1/1/2008 13:30	8.742
1/1/2008 13:40	8.767
1/1/2008 13:50	8.717
1/1/2008 14:00	8.717
1/1/2008 14:10	8.668
1/1/2008 14:20	8.693
1/1/2008 14:30	8.668
1/1/2008 14:40	8.618
1/1/2008 14:50	8.593
1/1/2008 15:00	8.568
1/1/2008 15:10	8.543
1/1/2008 15:20	8.519
1/1/2008 15:30	8.568
1/1/2008 15:40	8.543
1/1/2008 15:50	8.469
1/1/2008 16:00	8.344
1/1/2008 16:10	8.07
1/1/2008 16:20	8.17
1/1/2008 16:30	7.92
1/1/2008 16:40	7.645
1/1/2008 16:50	7.167
1/1/2008 17:00	6.839
1/1/2008 17:10	6.433
1/1/2008 17:20	6.306
1/1/2008 17:30	6.306
1/1/2008 17:40	6.458
1/1/2008 17:50	6.636
1/1/2008 18:00	6.889
1/1/2008 18:10	7.116
1/1/2008 18:20	7.142
1/1/2008 18:30	7.167
1/1/2008 18:40	7.217
1/1/2008 18:50	7.393
1/1/2008 19:00	7.619
1/1/2008 19:10	7.67
1/1/2008 19:20	7.795
1/1/2008 19:30	7.92
1/1/2008 19:40	7.92
1/1/2008 19:50	8.02
1/1/2008 20:00	8.22
1/1/2008 20:10	8.494
1/1/2008 20:20	8.792
1/1/2008 20:30	9.213
1/1/2008 20:40	9.903
1/1/2008 20:50	10.271
1/1/2008 21:00	10.271
1/1/2008 21:10	10.075
1/1/2008 21:20	10.075
1/1/2008 21:30	10.369
1/1/2008 21:40	10.173
1/1/2008 21:50	9.756
1/1/2008 22:00	9.46
1/1/2008 22:10	9.262
1/1/2008 22:20	9.287
1/1/2008 22:30	9.089
1/1/2008 22:40	8.866
1/1/2008 22:50	8.717
1/1/2008 23:00	8.494
1/1/2008 23:10	8.419
1/1/2008 23:20	8.319
1/1/2008 23:30	8.095
1/1/2008 23:40	7.895
1/1/2008 23:50	7.645
1/2/2008 0:00	7.419
1/2/2008 0:10	7.368
1/2/2008 0:20	6.712
1/2/2008 0:30	6.281
1/2/2008 0:40	6.153
1/2/2008 0:50	7.066
1/2/2008 1:00	6.509
1/2/2008 1:10	6
1/2/2008 1:20	7.795
1/2/2008 1:30	7.995
1/2/2008 1:40	8.045
1/2/2008 1:50	8.27
1/2/2008 2:00	8.195
1/2/2008 2:10	8.394
1/2/2008 2:20	8.245
1/2/2008 2:30	8.444
1/2/2008 2:40	8.494
1/2/2008 2:50	8.519
1/2/2008 3:00	8.543
1/2/2008 3:10	8.519
1/2/2008 3:20	8.519
1/2/2008 3:30	8.543
1/2/2008 3:40	8.543
1/2/2008 3:50	8.519
1/2/2008 4:00	8.543
1/2/2008 4:10	8.543
1/2/2008 4:20	8.519
1/2/2008 4:30	8.543
1/2/2008 4:40	8.543
1/2/2008 4:50	8.519
1/2/2008 5:00	8.494
1/2/2008 5:10	8.519
1/2/2008 5:20	8.519
1/2/2008 5:30	8.519
1/2/2008 5:40	8.494
1/2/2008 5:50	8.519
1/2/2008 6:00	8.469
1/2/2008 6:10	8.444
1/2/2008 6:20	8.469
1/2/2008 6:30	8.494
1/2/2008 6:40	8.494
1/2/2008 6:50	8.469
1/2/2008 7:00	8.494
1/2/2008 7:10	8.494
1/2/2008 7:20	8.469
1/2/2008 7:30	8.494
1/2/2008 7:40	8.519
1/2/2008 7:50	8.494
1/2/2008 8:00	8.494
1/2/2008 8:10	8.469
1/2/2008 8:20	8.494
1/2/2008 8:30	8.469
1/2/2008 8:40	8.419
1/2/2008 8:50	8.469
1/2/2008 9:00	8.494
1/2/2008 9:10	8.469
1/2/2008 9:20	8.494
1/2/2008 9:30	8.494
1/2/2008 9:40	8.494
1/2/2008 9:50	8.494
1/2/2008 10:00	8.494
1/2/2008 10:10	8.494
1/2/2008 10:20	8.519
1/2/2008 10:30	8.519
1/2/2008 10:40	8.519
1/2/2008 10:50	8.519
1/2/2008 11:00	8.519
1/2/2008 11:10	8.519
1/2/2008 11:20	8.519
1/2/2008 11:30	8.519
1/2/2008 11:40	8.519
1/2/2008 11:50	8.519
1/2/2008 12:00	8.519
1/2/2008 12:10	8.519
1/2/2008 12:20	8.519
1/2/2008 12:30	8.543
1/2/2008 12:40	8.543
1/2/2008 12:50	8.543
1/2/2008 13:00	8.543
1/2/2008 13:10	8.543
1/2/2008 13:20	8.543
1/2/2008 13:30	8.543
1/2/2008 13:40	8.568
1/2/2008 13:50	8.568
1/2/2008 14:00	8.568
1/2/2008 14:10	8.568
1/2/2008 14:20	8.568
1/2/2008 14:30	8.568
1/2/2008 14:40	8.568
1/2/2008 14:50	8.568
1/2/2008 15:00	8.568
1/2/2008 15:10	8.568
1/2/2008 15:20	8.568
1/2/2008 15:30	8.568
1/2/2008 15:40	8.568
1/2/2008 15:50	8.568
1/2/2008 16:00	8.568
1/2/2008 16:10	8.568
1/2/2008 16:20	8.543
1/2/2008 16:30	8.543
1/2/2008 16:40	8.519
1/2/2008 16:50	8.519
1/2/2008 17:00	8.543
1/2/2008 17:10	8.543
1/2/2008 17:20	8.519
1/2/2008 17:30	8.519
1/2/2008 17:40	8.519
1/2/2008 17:50	8.519
1/2/2008 18:00	8.519
1/2/2008 18:10	8.519
1/2/2008 18:20	8.519
1/2/2008 18:30	8.519
1/2/2008 18:40	8.568
