Time_GMT	Temp_C
8/29/2014 18:00	14
8/29/2014 18:30	14
8/29/2014 19:00	14
8/29/2014 19:30	14
8/29/2014 20:00	14
8/29/2014 20:30	13.5
8/29/2014 21:00	13
8/29/2014 21:30	13.5
8/29/2014 22:00	12.5
8/29/2014 22:30	12
8/29/2014 23:00	11.5
8/29/2014 23:30	11
8/30/2014 0:00	11
8/30/2014 0:30	11.5
8/30/2014 1:00	11.5
8/30/2014 1:30	12.5
8/30/2014 2:00	13
8/30/2014 2:30	13
8/30/2014 3:00	13
8/30/2014 3:30	13.5
8/30/2014 4:00	13.5
8/30/2014 4:30	13.5
8/30/2014 5:00	13.5
8/30/2014 5:30	13.5
8/30/2014 6:00	13.5
8/30/2014 6:30	13
8/30/2014 7:00	13
8/30/2014 7:30	13
8/30/2014 8:00	13
8/30/2014 8:30	13
8/30/2014 9:00	12
8/30/2014 9:30	12.5
8/30/2014 10:00	13
8/30/2014 10:30	15.5
8/30/2014 11:00	20
8/30/2014 11:30	17.5
8/30/2014 12:00	20
8/30/2014 12:30	24.5
8/30/2014 13:00	25.5
8/30/2014 13:30	18
8/30/2014 14:00	15.5
8/30/2014 14:30	14.5
8/30/2014 15:00	14
8/30/2014 15:30	13.5
8/30/2014 16:00	13.5
8/30/2014 16:30	13.5
8/30/2014 17:00	13.5
8/30/2014 17:30	13.5
8/30/2014 18:00	13.5
8/30/2014 18:30	13.5
8/30/2014 19:00	13.5
8/30/2014 19:30	13.5
8/30/2014 20:00	13
8/30/2014 20:30	13
8/30/2014 21:00	13
8/30/2014 21:30	12.5
8/30/2014 22:00	12
8/30/2014 22:30	11
8/30/2014 23:00	11
8/30/2014 23:30	11.5
8/31/2014 0:00	11.5
8/31/2014 0:30	12
8/31/2014 1:00	12
8/31/2014 1:30	10
8/31/2014 2:00	10.5
8/31/2014 2:30	12
8/31/2014 3:00	12.5
8/31/2014 3:30	12.5
8/31/2014 4:00	12.5
8/31/2014 4:30	12.5
8/31/2014 5:00	12.5
8/31/2014 5:30	12.5
8/31/2014 6:00	12.5
8/31/2014 6:30	12.5
8/31/2014 7:00	12.5
8/31/2014 7:30	12.5
8/31/2014 8:00	12.5
8/31/2014 8:30	12.5
8/31/2014 9:00	12.5
8/31/2014 9:30	12.5
8/31/2014 10:00	13
8/31/2014 10:30	13.5
8/31/2014 11:00	15
8/31/2014 11:30	15.5
8/31/2014 12:00	18.5
8/31/2014 12:30	19.5
8/31/2014 13:00	19.5
8/31/2014 13:30	19
8/31/2014 14:00	16
8/31/2014 14:30	14.5
8/31/2014 15:00	14.5
8/31/2014 15:30	14
8/31/2014 16:00	14
8/31/2014 16:30	13.5
8/31/2014 17:00	13.5
8/31/2014 17:30	13.5
8/31/2014 18:00	13.5
8/31/2014 18:30	13.5
8/31/2014 19:00	13.5
8/31/2014 19:30	13.5
8/31/2014 20:00	13
8/31/2014 20:30	13
8/31/2014 21:00	13
8/31/2014 21:30	13
8/31/2014 22:00	12.5
8/31/2014 22:30	12.5
8/31/2014 23:00	12
8/31/2014 23:30	11.5
9/1/2014 0:00	10
9/1/2014 0:30	10.5
9/1/2014 1:00	9.5
9/1/2014 1:30	10.5
9/1/2014 2:00	11.5
9/1/2014 2:30	11.5
9/1/2014 3:00	12
9/1/2014 3:30	12.5
9/1/2014 4:00	12.5
9/1/2014 4:30	12.5
9/1/2014 5:00	12.5
9/1/2014 5:30	12.5
9/1/2014 6:00	12.5
9/1/2014 6:30	12.5
9/1/2014 7:00	12.5
9/1/2014 7:30	12.5
9/1/2014 8:00	12.5
9/1/2014 8:30	12.5
9/1/2014 9:00	12.5
9/1/2014 9:30	13
9/1/2014 10:00	13
9/1/2014 10:30	13
9/1/2014 11:00	13.5
9/1/2014 11:30	14.5
9/1/2014 12:00	15
9/1/2014 12:30	16.5
9/1/2014 13:00	18
9/1/2014 13:30	17
9/1/2014 14:00	16
9/1/2014 14:30	16.5
9/1/2014 15:00	15
9/1/2014 15:30	15
9/1/2014 16:00	14
9/1/2014 16:30	14
9/1/2014 17:00	13.5
9/1/2014 17:30	13.5
9/1/2014 18:00	13.5
9/1/2014 18:30	13.5
9/1/2014 19:00	13.5
9/1/2014 19:30	13.5
9/1/2014 20:00	13.5
9/1/2014 20:30	13.5
9/1/2014 21:00	13.5
9/1/2014 21:30	13.5
9/1/2014 22:00	13
9/1/2014 22:30	13
9/1/2014 23:00	13
9/1/2014 23:30	13.5
9/2/2014 0:00	12.5
9/2/2014 0:30	12.5
9/2/2014 1:00	12
9/2/2014 1:30	12.5
9/2/2014 2:00	11.5
9/2/2014 2:30	11.5
9/2/2014 3:00	12
9/2/2014 3:30	12.5
9/2/2014 4:00	12.5
9/2/2014 4:30	13
9/2/2014 5:00	13
9/2/2014 5:30	13
9/2/2014 6:00	13
9/2/2014 6:30	13
9/2/2014 7:00	13
9/2/2014 7:30	13
9/2/2014 8:00	13
9/2/2014 8:30	13
9/2/2014 9:00	13
9/2/2014 9:30	13
9/2/2014 10:00	13.5
