microsite_id,site,field_lat,field_lon,location,state_province,country,biomimic,zone,sub_zone,wave_exp,Start Date,End Date
BMRMZAWCPB1011,ZAWCPB,-34.061555,23.379823,Plettenberg,Western Cape,South Africa,8cm epoxy robomussel,3.Mid,Rocky,exposed,3/16/16,6/8/16
BMRMZAWCBT1007,ZAWCBT,-34.075213,23.023874,Brenton,Western Cape,South Africa,8cm epoxy robomussel,1.High,Rocky,exposed,3/16/16,6/8/16
BMRMZAWCBT1008,ZAWCBT,-34.075213,23.023874,Brenton,Western Cape,South Africa,8cm epoxy robomussel,1.High,Rocky,exposed,3/16/16,6/8/16
BMRMZAWCBT1014,ZAWCBT,-34.075213,23.023874,Brenton,Western Cape,South Africa,8cm epoxy robomussel,3.Mid,Rocky,exposed,3/16/16,6/8/16
BMRMZAWCBT1015,ZAWCBT,-34.075213,23.023874,Brenton,Western Cape,South Africa,8cm epoxy robomussel,3.Mid,Rocky,exposed,3/16/16,6/8/16
BMRMZAWCKB1007,ZAWCKB,-34.004968,23.455270,Keurboom,Western Cape,South Africa,8cm epoxy robomussel,1.High,Rocky,exposed,3/16/16,6/8/16
BMRMZAWCKB1008,ZAWCKB,-34.004968,23.455270,Keurboom,Western Cape,South Africa,8cm epoxy robomussel,1.High,Rocky,exposed,3/16/16,6/8/16
BMRMZAWCKB1012,ZAWCKB,-34.004968,23.455270,Keurboom,Western Cape,South Africa,8cm epoxy robomussel,3.Mid,Rocky,exposed,3/16/16,6/8/16
BMRMZAWCKB1013,ZAWCKB,-34.004968,23.455270,Keurboom,Western Cape,South Africa,8cm epoxy robomussel,3.Mid,Rocky,exposed,3/16/16,6/8/16
BMRMZAWCPB1006,ZAWCPB,-34.061555,23.379823,Plettenberg,Western Cape,South Africa,8cm epoxy robomussel,1.High,Rocky,exposed,3/16/16,6/8/16
BMRMZAWCPB1007,ZAWCPB,-34.061555,23.379823,Plettenberg,Western Cape,South Africa,8cm epoxy robomussel,1.High,Rocky,exposed,3/16/16,6/8/16
BMRMZAWCPB1014,ZAWCPB,-34.061555,23.379823,Plettenberg,Western Cape,South Africa,8cm epoxy robomussel,3.Mid,Rocky,exposed,3/16/16,6/8/16
BMRMZAWCPB1015,ZAWCPB,-34.061555,23.379823,Plettenberg,Western Cape,South Africa,8cm epoxy robomussel,3.Mid,Rocky,exposed,3/16/16,6/8/16
BMRMZAWCBT1005,ZAWCBT,-34.075213,23.023874,Brenton,Western Cape,South Africa,8cm epoxy robomussel,1.High,Rocky,exposed,1/23/16,3/30/16
BMRMZAWCBT1006,ZAWCBT,-34.075213,23.023874,Brenton,Western Cape,South Africa,8cm epoxy robomussel,1.High,Rocky,exposed,1/23/16,3/30/16
BMRMZAWCBT1012,ZAWCBT,-34.075213,23.023874,Brenton,Western Cape,South Africa,8cm epoxy robomussel,3.Mid,Rocky,exposed,1/23/16,3/30/16
BMRMZAWCBT1013,ZAWCBT,-34.075213,23.023874,Brenton,Western Cape,South Africa,8cm epoxy robomussel,3.Mid,Rocky,exposed,1/23/16,3/30/16
BMRMZAWCKB1005,ZAWCKB,-34.004968,23.455270,Keurboom,Western Cape,South Africa,8cm epoxy robomussel,1.High,Rocky,exposed,1/23/16,3/30/16
BMRMZAWCKB1006,ZAWCKB,-34.004968,23.455270,Keurboom,Western Cape,South Africa,8cm epoxy robomussel,1.High,Rocky,exposed,1/23/16,3/30/16
BMRMZAWCKB1010,ZAWCKB,-34.004968,23.455270,Keurboom,Western Cape,South Africa,8cm epoxy robomussel,3.Mid,Rocky,exposed,1/23/16,3/30/16
BMRMZAWCKB1011,ZAWCKB,-34.004968,23.455270,Keurboom,Western Cape,South Africa,8cm epoxy robomussel,3.Mid,Rocky,exposed,1/23/16,3/30/16
BMRMZAWCPB1004,ZAWCPB,-34.061555,23.379823,Plettenberg,Western Cape,South Africa,8cm epoxy robomussel,1.High,Rocky,exposed,1/23/16,3/30/16
BMRMZAWCPB1005,ZAWCPB,-34.061555,23.379823,Plettenberg,Western Cape,South Africa,8cm epoxy robomussel,1.High,Rocky,exposed,1/23/16,3/30/16
BMRMZAWCPB1012,ZAWCPB,-34.061555,23.379823,Plettenberg,Western Cape,South Africa,8cm epoxy robomussel,3.Mid,Rocky,exposed,1/23/16,3/30/16
BMRMZAWCPB1013,ZAWCPB,-34.061555,23.379823,Plettenberg,Western Cape,South Africa,8cm epoxy robomussel,3.Mid,Rocky,exposed,1/23/16,3/30/16
BMRMUSCACP347,USCACP,34.40673,-119.87829,Coal Oil Point,California,USA,8cm epoxy robomussel,5.Low,Rocky,exposed,11/9/10,2/10/16
BMRMZAWCPB1002,ZAWCPB,-34.061555,23.379823,Plettenberg,Western Cape,South Africa,8cm epoxy robomussel,1.High,Rocky,exposed,10/8/15,1/27/16
BMRMZAWCPB1009,ZAWCPB,-34.061555,23.379823,Plettenberg,Western Cape,South Africa,8cm epoxy robomussel,3.Mid,Rocky,exposed,10/8/15,1/27/16
BMRMZAWCKB1001,ZAWCKB,-34.004968,23.455270,Keurboom,Western Cape,South Africa,8cm epoxy robomussel,1.High,Rocky,exposed,10/8/15,1/27/16
BMRMZAWCKB1002,ZAWCKB,-34.004968,23.455270,Keurboom,Western Cape,South Africa,8cm epoxy robomussel,1.High,Rocky,exposed,10/8/15,1/27/16
BMRMZAWCKB1003,ZAWCKB,-34.004968,23.455270,Keurboom,Western Cape,South Africa,8cm epoxy robomussel,1.High,Rocky,exposed,10/8/15,1/27/16
BMRMZAWCKB1009,ZAWCKB,-34.004968,23.455270,Keurboom,Western Cape,South Africa,8cm epoxy robomussel,3.Mid,Rocky,exposed,10/8/15,1/27/16
BMRMZAWCBT1003,ZAWCBT,-34.075213,23.023874,Brenton,Western Cape,South Africa,8cm epoxy robomussel,1.High,Rocky,exposed,10/8/15,1/26/16
BMRMZAWCBT1009,ZAWCBT,-34.075213,23.023874,Brenton,Western Cape,South Africa,8cm epoxy robomussel,3.Mid,Rocky,exposed,10/8/15,1/26/16
BMRMZAWCBT1010,ZAWCBT,-34.075213,23.023874,Brenton,Western Cape,South Africa,8cm epoxy robomussel,3.Mid,Rocky,exposed,10/8/15,1/26/16
BMRMZAWCBT1001,ZAWCBT,-34.075213,23.023874,Brenton,Western Cape,South Africa,8cm epoxy robomussel,1.High,Rocky,exposed,10/8/15,1/26/16
BMRMZAWCBT1002,ZAWCBT,-34.075213,23.023874,Brenton,Western Cape,South Africa,8cm epoxy robomussel,1.High,Rocky,exposed,10/8/15,1/26/16
BMRMZAWCBT1011,ZAWCBT,-34.075213,23.023874,Brenton,Western Cape,South Africa,8cm epoxy robomussel,3.Mid,Rocky,exposed,12/5/15,1/16/16
BMRMZAWCPB1003,ZAWCPB,-34.061555,23.379823,Plettenberg,Western Cape,South Africa,8cm epoxy robomussel,1.High,Rocky,exposed,12/5/15,1/16/16
BMRMZAWCBT1004,ZAWCBT,-34.075213,23.023874,Brenton,Western Cape,South Africa,8cm epoxy robomussel,1.High,Rocky,exposed,12/5/15,1/16/16
BMRMZAWCKB1004,ZAWCKB,-34.004968,23.455270,Keurboom,Western Cape,South Africa,8cm epoxy robomussel,1.High,Rocky,exposed,12/5/15,1/16/16
BMRMZAWCPB1010,ZAWCPB,-34.061555,23.379823,Plettenberg,Western Cape,South Africa,8cm epoxy robomussel,3.Mid,Rocky,exposed,12/5/15,1/16/16
BMRMUSMANP515,USMANP,42.419968,-70.902284,East Point,Massachusetts,USA,4cm shell robomussel,1.High,Rocky,protected,11/20/14,1/6/16
BMRMUSMAPH400,USMAPH,42.41671,-70.90673,Pumphouse,Massachusetts,USA,4cm shell robomussel,1.High,Rocky,protected,7/21/14,1/6/16
BMRMUSMAPH525,USMAPH,42.41665,-70.90678,Pumphouse,Massachusetts,USA,4cm shell robomussel,1.High,Rocky,protected,7/11/13,1/6/16
BMRMUSMAPH529,USMAPH,42.41673,-70.90636,Pumphouse,Massachusetts,USA,4cm shell robomussel,1.High,Rocky,exposed,4/24/14,1/6/16
BMRMUSMAPH402,USMAPH,42.41664,-70.90682,Pumphouse,Massachusetts,USA,4cm shell robomussel,3.Mid,Rocky,exposed,7/21/14,1/6/16
BMRMUSMANP511,USMANP,42.419968,-70.902284,East Point,Massachusetts,USA,4cm shell robomussel,5.Low,Rocky,exposed,1/8/14,1/6/16
BMRMUSMANP509,USMANP,42.419968,-70.902284,East Point,Massachusetts,USA,4cm shell robomussel,3.Mid,Rocky,protected,1/8/14,1/6/16
BMRMUSMAPH528,USMAPH,42.41675,-70.90671,Pumphouse,Massachusetts,USA,4cm shell robomussel,3.Mid,Rocky,exposed,4/24/14,1/6/16
BMRMUSMANP513,USMANP,42.419968,-70.902284,East Point,Massachusetts,USA,4cm shell robomussel,1.High,Rocky,protected,1/8/14,1/6/16
BMRMUSCATL163,USCATL,34.05165,-119.9032,Trailer,California,USA,8cm epoxy robomussel,1.High,Rocky,exposed,12/13/04,12/9/15
BMRMUSCATL327,USCATL,34.05165,-119.9032,Trailer,California,USA,8cm epoxy robomussel,3.Mid,Rocky,exposed,11/19/10,12/9/15
BMRMUSCATL329,USCATL,34.05165,-119.9032,Trailer,California,USA,8cm epoxy robomussel,4.Lower-Mid,Rocky,exposed,11/14/12,12/9/15
BMRMUSCACP342,USCACP,34.40673,-119.87829,Coal Oil Point,California,USA,8cm epoxy robomussel,1.High,Rocky,exposed,11/9/10,11/25/15
BMRMUSCACP344,USCACP,34.40673,-119.87829,Coal Oil Point,California,USA,8cm epoxy robomussel,3.Mid,Rocky,exposed,11/8/10,11/25/15
BMRMUSCACP345,USCACP,34.40673,-119.87829,Coal Oil Point,California,USA,8cm epoxy robomussel,3.Mid,Rocky,exposed,11/9/10,11/25/15
BMRMUSCALL52,USCALL,34.71911,-120.60889,Lompoc Landing,California,USA,8cm epoxy robomussel,3.Mid,Rocky,exposed,2/1/02,11/25/15
BMRMUSCALL54,USCALL,34.71911,-120.60889,Lompoc Landing,California,USA,8cm epoxy robomussel,1.High,Rocky,exposed,11/26/03,11/25/15
BMRMUSCALL50,USCALL,34.71911,-120.60889,Lompoc Landing,California,USA,8cm epoxy robomussel,4.Lower-Mid,Rocky,exposed,4/25/03,11/25/15
BMRMUSCALL51,USCALL,34.71911,-120.60889,Lompoc Landing,California,USA,8cm epoxy robomussel,5.Low,Rocky,exposed,4/25/03,11/25/15
BMRMUSCAAG35,USCAAG,34.46716667,-120.2770333,Alegria,California,USA,8cm epoxy robomussel,3.Mid,Rocky,exposed,7/17/00,11/25/15
BMRMUSCAAG323,USCAAG,34.46716667,-120.2770333,Alegria,California,USA,8cm epoxy robomussel,3.Mid,Rocky,exposed,8/3/12,11/25/15
BMRMUSCAAG322,USCAAG,34.46716667,-120.2770333,Alegria,California,USA,8cm epoxy robomussel,2.Upper-Mid,Rocky,exposed,11/8/10,11/25/15
BMRMUSCAAG32,USCAAG,34.46716667,-120.2770333,Alegria,California,USA,8cm epoxy robomussel,3.Mid,Rocky,exposed,7/17/00,11/25/15
BMRMUSCAAG318,USCAAG,34.46716667,-120.2770333,Alegria,California,USA,8cm epoxy robomussel,3.Mid,Rocky,exposed,8/3/12,11/25/15
BMRMUSCAAG30,USCAAG,34.46716667,-120.2770333,Alegria,California,USA,8cm epoxy robomussel,1.High,Rocky,exposed,11/23/03,11/25/15
BMRMZAWCPB1001,ZAWCPB,-34.061555,23.379823,Plettenberg,Western Cape,South Africa,8cm epoxy robomussel,1.High,Rocky,exposed,9/27/15,11/3/15
BMRMZAWCPB1008,ZAWCPB,-34.061555,23.379823,Plettenberg,Western Cape,South Africa,8cm epoxy robomussel,3.Mid,Rocky,exposed,9/27/15,11/3/15
BMRMUSMANP510,USMANP,42.419968,-70.902284,East Point,Massachusetts,USA,4cm shell robomussel,1.High,Rocky,protected,1/8/14,10/13/15
BMRMUSMANP514,USMANP,42.419968,-70.902284,East Point,Massachusetts,USA,4cm shell robomussel,1.High,Rocky,exposed,11/20/14,10/13/15
BMRMUSMAPH526,USMAPH,42.41671,-70.9068,Pumphouse,Massachusetts,USA,4cm shell robomussel,5.Low,Rocky,protected,7/21/14,10/13/15
BMRMUSMANP512,USMANP,42.419968,-70.902284,East Point,Massachusetts,USA,4cm shell robomussel,5.Low,Rocky,exposed,1/8/14,10/13/15
BMRMUSMAPH401,USMAPH,42.41663,-70.90686,Pumphouse,Massachusetts,USA,4cm shell robomussel,5.Low,Rocky,exposed,7/21/14,10/13/15
BMRMUSCATL324,USCATL,34.05165,-119.9032,Trailer,California,USA,8cm epoxy robomussel,3.Mid,Rocky,exposed,12/13/04,9/24/15
BMRMUSMANP508,USMANP,42.419968,-70.902284,East Point,Massachusetts,USA,4cm shell robomussel,1.High,Rocky,exposed,1/8/14,8/18/15
BMRMUSMANP507,USMANP,42.419968,-70.902284,East Point,Massachusetts,USA,4cm shell robomussel,5.Low,Rocky,protected,4/24/14,8/18/15
BMRMUSORFC1,USORFC,44.83733333,-124.05845,Fogarty Creek,Oregon,USA,8cm epoxy robomussel,3.Mid,Rocky,exposed,7/11/06,6/4/15
BMRMUSORFC2,USORFC,44.83733333,-124.05845,Fogarty Creek,Oregon,USA,8cm epoxy robomussel,3.Mid,Rocky,exposed,7/11/06,6/4/15
BMRMUSORFC3,USORFC,44.83733333,-124.05845,Fogarty Creek,Oregon,USA,8cm epoxy robomussel,3.Mid,Rocky,exposed,3/18/07,6/4/15
BMRMUSCAFR366,USCAFR,34.06271667,-119.9192167,Fraser,California,USA,8cm epoxy robomussel,3.Mid,Rocky,exposed,11/4/13,2/19/15
BMRMUSCAFR364,USCAFR,34.06271667,-119.9192167,Fraser,California,USA,8cm epoxy robomussel,3.Mid,Rocky,exposed,11/20/10,2/18/15
BMRMUSCAFR365,USCAFR,34.06271667,-119.9192167,Fraser,California,USA,8cm epoxy robomussel,3.Mid,Rocky,exposed,11/20/10,2/18/15
BMRMZAECCA130,ZAECCA,-34.209481,24.837365,Cape St Francis,Eastern Cape,South Africa,8cm epoxy robomussel,3.Mid,Rocky,exposed,6/13/14,2/7/15
BMRMZAECCA140,ZAECCA,-34.209481,24.837365,Cape St Francis,Eastern Cape,South Africa,8cm epoxy robomussel,3.Mid,Rocky,exposed,6/13/14,2/7/15
BMRMZAECCA80,ZAECCA,-34.209481,24.837365,Cape St Francis,Eastern Cape,South Africa,8cm epoxy robomussel,3.Mid,Rocky,exposed,6/13/14,2/7/15
BMRMZAECCA90,ZAECCA,-34.209481,24.837365,Cape St Francis,Eastern Cape,South Africa,8cm epoxy robomussel,3.Mid,Rocky,exposed,6/13/14,2/7/15
BMRMZAECMB110,ZAECMB,-32.711101,28.339619,Morgans Bay,Eastern Cape,South Africa,8cm epoxy robomussel,3.Mid,Rocky,moderately exposed,12/26/14,2/7/15
BMRMZAECMB40,ZAECMB,-32.711101,28.339619,Morgans Bay,Eastern Cape,South Africa,8cm epoxy robomussel,3.Mid,Rocky,moderately exposed,12/26/14,2/7/15
BMRMZAKNPE100,ZAKNPE,-31.048014,30.230186,Port Edward,KwaZulu-Natal,South Africa,8cm epoxy robomussel,3.Mid,Rocky,exposed,12/23/14,2/6/15
BMRMZAKNPE90,ZAKNPE,-31.048014,30.230186,Port Edward,KwaZulu-Natal,South Africa,8cm epoxy robomussel,3.Mid,Rocky,exposed,12/23/14,2/6/15
BMRMZAKNBA120,ZAKNBA,-29.483833,31.259218,Ballito,KwaZulu-Natal,South Africa,8cm epoxy robomussel,3.Mid,Rocky,exposed,12/21/14,2/5/15
BMRMZAKNBA50,ZAKNBA,-29.483833,31.259218,Ballito,KwaZulu-Natal,South Africa,8cm epoxy robomussel,3.Mid,Rocky,exposed,10/6/14,2/5/15
BMRMZAKNBA60,ZAKNBA,-29.483833,31.259218,Ballito,KwaZulu-Natal,South Africa,8cm epoxy robomussel,3.Mid,Rocky,exposed,12/21/14,2/5/15
BMRMZAWCBT20,ZAWCBT,-34.075213,23.023874,Brenton,Western Cape,South Africa,8cm epoxy robomussel,3.Mid,Rocky,exposed,6/14/14,1/27/15
BMRMZAWCBT120,ZAWCBT,-34.075213,23.023874,Brenton,Western Cape,South Africa,8cm epoxy robomussel,3.Mid,Rocky,exposed,12/14/14,1/26/15
BMRMZAWCBT130,ZAWCBT,-34.075213,23.023874,Brenton,Western Cape,South Africa,8cm epoxy robomussel,3.Mid,Rocky,exposed,12/14/14,1/26/15
BMRMUSCALL49,USCALL,34.71911,-120.60889,Lompoc Landing,California,USA,8cm epoxy robomussel,3.Mid,Rocky,exposed,2/1/02,1/20/15
BMRMUSORBB11,USORBB,44.83064,-124.06005,Boiler Bay,Oregon,USA,8cm epoxy robomussel,3.Mid,Rocky,protected,10/16/00,1/20/15
BMRMUSORBB13,USORBB,44.83064,-124.06005,Boiler Bay,Oregon,USA,8cm epoxy robomussel,1.High,Rocky,protected,3/6/05,1/20/15
BMRMUSORBB2,USORBB,44.83064,-124.06005,Boiler Bay,Oregon,USA,8cm epoxy robomussel,3.Mid,Rocky,intermediate,10/16/00,1/20/15
