Time_GMT,Temp_C
5/23/2015 17:00,18.84
5/23/2015 17:10,19.18
5/23/2015 17:20,21.08
5/23/2015 17:30,24.26
5/23/2015 17:40,25.52
5/23/2015 17:50,26.13
5/23/2015 18:00,26.11
5/23/2015 18:10,26.13
5/23/2015 18:20,26.43
5/23/2015 18:30,27.19
5/23/2015 18:40,27.44
5/23/2015 18:50,26.8
5/23/2015 19:00,26.92
5/23/2015 19:10,26.96
5/23/2015 19:20,27.13
5/23/2015 19:30,26.94
5/23/2015 19:40,26.53
5/23/2015 19:50,25.44
5/23/2015 20:00,20.81
5/23/2015 20:10,18.64
5/23/2015 20:20,17.22
5/23/2015 20:30,16.43
5/23/2015 20:40,16.06
5/23/2015 20:50,15.84
5/23/2015 21:00,15.58
5/23/2015 21:10,15.42
5/23/2015 21:20,15.25
5/23/2015 21:30,15.22
5/23/2015 21:40,15.23
5/23/2015 21:50,15.08
5/23/2015 22:00,15.1
5/23/2015 22:10,14.98
5/23/2015 22:20,14.83
5/23/2015 22:30,14.83
5/23/2015 22:40,14.82
5/23/2015 22:50,14.69
5/23/2015 23:00,14.52
5/23/2015 23:10,14.59
5/23/2015 23:20,14.48
5/23/2015 23:30,14.32
5/23/2015 23:40,14.41
5/23/2015 23:50,14.32
5/24/2015 0:00,14.37
5/24/2015 0:10,14.36
5/24/2015 0:20,14.21
5/24/2015 0:30,14.06
5/24/2015 0:40,14.08
5/24/2015 0:50,14.18
5/24/2015 1:00,14.25
5/24/2015 1:10,14.09
5/24/2015 1:20,14.25
5/24/2015 1:30,14.23
5/24/2015 1:40,14.25
5/24/2015 1:50,14.15
5/24/2015 2:00,13.96
5/24/2015 2:10,13.89
5/24/2015 2:20,13.72
5/24/2015 2:30,13.64
5/24/2015 2:40,13.45
5/24/2015 2:50,13.5
5/24/2015 3:00,13.41
5/24/2015 3:10,13.27
5/24/2015 3:20,13.16
5/24/2015 3:30,12.89
5/24/2015 3:40,12.91
5/24/2015 3:50,12.67
5/24/2015 4:00,12.64
5/24/2015 4:10,12.5
5/24/2015 4:20,12.38
5/24/2015 4:30,12.41
5/24/2015 4:40,12.25
5/24/2015 4:50,12.28
5/24/2015 5:00,12.21
5/24/2015 5:10,12.12
5/24/2015 5:20,12.14
5/24/2015 5:30,12.17
5/24/2015 5:40,12.04
5/24/2015 5:50,12
5/24/2015 6:00,12.06
5/24/2015 6:10,12.05
5/24/2015 6:20,12.01
5/24/2015 6:30,12.02
5/24/2015 6:40,12.04
5/24/2015 6:50,12.03
5/24/2015 7:00,11.88
5/24/2015 7:10,11.89
5/24/2015 7:20,11.91
5/24/2015 7:30,11.92
5/24/2015 7:40,11.89
5/24/2015 7:50,11.79
5/24/2015 8:00,11.73
5/24/2015 8:10,11.72
5/24/2015 8:20,11.73
5/24/2015 8:30,11.8
5/24/2015 8:40,11.8
5/24/2015 8:50,11.78
5/24/2015 9:00,11.78
5/24/2015 9:10,11.77
5/24/2015 9:20,11.69
5/24/2015 9:30,11.76
5/24/2015 9:40,11.75
5/24/2015 9:50,11.67
5/24/2015 10:00,11.61
5/24/2015 10:10,11.6
5/24/2015 10:20,11.61
5/24/2015 10:30,11.63
5/24/2015 10:40,11.63
5/24/2015 10:50,11.65
5/24/2015 11:00,11.64
5/24/2015 11:10,11.68
5/24/2015 11:20,11.69
5/24/2015 11:30,11.69
5/24/2015 11:40,11.69
5/24/2015 11:50,11.67
5/24/2015 12:00,11.65
5/24/2015 12:10,11.6
5/24/2015 12:20,11.62
5/24/2015 12:30,11.53
5/24/2015 12:40,11.49
5/24/2015 12:50,11.53
5/24/2015 13:00,11.41
5/24/2015 13:10,11.35
5/24/2015 13:20,11.32
5/24/2015 13:30,11.27
5/24/2015 13:40,11.5
5/24/2015 13:50,12.41
5/24/2015 14:00,12.97
5/24/2015 14:10,13.76
5/24/2015 14:20,14.45
5/24/2015 14:30,15.1
5/24/2015 14:40,15.82
5/24/2015 14:50,16.47
5/24/2015 15:00,16.08
5/24/2015 15:10,16.58
5/24/2015 15:20,16.81
5/24/2015 15:30,16.93
5/24/2015 15:40,16.92
5/24/2015 15:50,18.87
5/24/2015 16:00,21
5/24/2015 16:10,22.11
5/24/2015 16:20,20.56
5/24/2015 16:30,20.3
5/24/2015 16:40,21.68
5/24/2015 16:50,22.92
5/24/2015 17:00,23.14
5/24/2015 17:10,23.1
5/24/2015 17:20,23.84
5/24/2015 17:30,25.07
5/24/2015 17:40,25.99
5/24/2015 17:50,25.78
5/24/2015 18:00,26.66
5/24/2015 18:10,26.43
5/24/2015 18:20,26.92
5/24/2015 18:30,27.22
5/24/2015 18:40,27.58
5/24/2015 18:50,27.6
5/24/2015 19:00,28.14
5/24/2015 19:10,28.62
5/24/2015 19:20,29.08
5/24/2015 19:30,29.22
5/24/2015 19:40,29.01
5/24/2015 19:50,29.34
5/24/2015 20:00,29.86
5/24/2015 20:10,30.45
5/24/2015 20:20,29.16
5/24/2015 20:30,23.99
5/24/2015 20:40,20.41
5/24/2015 20:50,17.67
5/24/2015 21:00,16.72
5/24/2015 21:10,15.96
5/24/2015 21:20,15.61
5/24/2015 21:30,15.31
5/24/2015 21:40,15.25
5/24/2015 21:50,15.12
5/24/2015 22:00,14.95
5/24/2015 22:10,15
5/24/2015 22:20,14.86
5/24/2015 22:30,14.85
5/24/2015 22:40,14.86
5/24/2015 22:50,14.88
5/24/2015 23:00,14.75
5/24/2015 23:10,14.62
5/24/2015 23:20,14.43
5/24/2015 23:30,14.35
5/24/2015 23:40,14.24
5/24/2015 23:50,14.25
5/25/2015 0:00,14.27
5/25/2015 0:10,14.15
5/25/2015 0:20,14.07
5/25/2015 0:30,14.19
5/25/2015 0:40,14.39
5/25/2015 0:50,14.21
5/25/2015 1:00,14.39
5/25/2015 1:10,14.21
5/25/2015 1:20,14.22
5/25/2015 1:30,14.22
5/25/2015 1:40,14.15
5/25/2015 1:50,14.14
5/25/2015 2:00,13.95
5/25/2015 2:10,13.95
5/25/2015 2:20,13.89
5/25/2015 2:30,13.72
5/25/2015 2:40,13.74
5/25/2015 2:50,13.73
5/25/2015 3:00,13.65
5/25/2015 3:10,13.59
5/25/2015 3:20,13.58
5/25/2015 3:30,13.49
5/25/2015 3:40,13.5
5/25/2015 3:50,13.41
5/25/2015 4:00,13.37
5/25/2015 4:10,13.39
5/25/2015 4:20,13.37
5/25/2015 4:30,13.21
5/25/2015 4:40,13.27
5/25/2015 4:50,13.27
5/25/2015 5:00,13.21
5/25/2015 5:10,13.24
5/25/2015 5:20,13.26
5/25/2015 5:30,13.12
5/25/2015 5:40,13.09
5/25/2015 5:50,13.16
5/25/2015 6:00,13.08
5/25/2015 6:10,13.2
5/25/2015 6:20,13.23
5/25/2015 6:30,13.24
5/25/2015 6:40,13.24
5/25/2015 6:50,13.24
5/25/2015 7:00,13.29
5/25/2015 7:10,13.24
5/25/2015 7:20,13.21
5/25/2015 7:30,13.28
5/25/2015 7:40,13.31
