Time_GMT,Temp_C
1/1/2009 0:00,13.18
1/1/2009 0:10,12.61
1/1/2009 0:20,12.32
1/1/2009 0:30,12.03
1/1/2009 0:40,11.74
1/1/2009 0:50,11.45
1/1/2009 1:00,10.87
1/1/2009 1:10,10.87
1/1/2009 1:20,10.58
1/1/2009 1:30,10.29
1/1/2009 1:40,10.29
1/1/2009 1:50,10.01
1/1/2009 2:00,9.72
1/1/2009 2:10,9.72
1/1/2009 2:20,9.43
1/1/2009 2:30,9.14
1/1/2009 2:40,9.43
1/1/2009 2:50,9.43
1/1/2009 3:00,9.43
1/1/2009 3:10,9.43
1/1/2009 3:20,9.43
1/1/2009 3:30,9.43
1/1/2009 3:40,9.43
1/1/2009 3:50,9.43
1/1/2009 4:00,9.43
1/1/2009 4:10,9.43
1/1/2009 4:20,9.14
1/1/2009 4:30,9.43
1/1/2009 4:40,9.14
1/1/2009 4:50,8.86
1/1/2009 5:00,9.14
1/1/2009 5:10,8.86
1/1/2009 5:20,8.86
1/1/2009 5:30,8.86
1/1/2009 5:40,8.57
1/1/2009 5:50,8.86
1/1/2009 6:00,9.43
1/1/2009 6:10,9.72
1/1/2009 6:20,10.58
1/1/2009 6:30,10.87
1/1/2009 6:40,11.45
1/1/2009 6:50,11.74
1/1/2009 7:00,11.74
1/1/2009 7:10,12.32
1/1/2009 7:20,12.32
1/1/2009 7:30,12.32
1/1/2009 7:40,12.32
1/1/2009 7:50,12.61
1/1/2009 8:00,12.61
1/1/2009 8:10,12.61
1/1/2009 8:20,12.89
1/1/2009 8:30,12.61
1/1/2009 8:40,12.89
1/1/2009 8:50,12.89
1/1/2009 9:00,12.89
1/1/2009 9:10,12.89
1/1/2009 9:20,12.61
1/1/2009 9:30,12.89
1/1/2009 9:40,12.89
1/1/2009 9:50,12.61
1/1/2009 10:00,12.32
1/1/2009 10:10,12.32
1/1/2009 10:20,12.32
1/1/2009 10:30,12.61
1/1/2009 10:40,12.32
1/1/2009 10:50,12.32
1/1/2009 11:00,12.03
1/1/2009 11:10,11.74
1/1/2009 11:20,11.45
1/1/2009 11:30,11.45
1/1/2009 11:40,11.16
1/1/2009 11:50,10.87
1/1/2009 12:00,10.87
1/1/2009 12:10,11.45
1/1/2009 12:20,11.74
1/1/2009 12:30,11.16
1/1/2009 12:40,11.16
1/1/2009 12:50,10.87
1/1/2009 13:00,10.87
1/1/2009 13:10,10.58
1/1/2009 13:20,10.29
1/1/2009 13:30,10.29
1/1/2009 13:40,10.01
1/1/2009 13:50,9.72
1/1/2009 14:00,10.01
1/1/2009 14:10,9.72
1/1/2009 14:20,9.43
1/1/2009 14:30,9.14
1/1/2009 14:40,9.72
1/1/2009 14:50,10.01
1/1/2009 15:00,10.29
1/1/2009 15:10,10.01
1/1/2009 15:20,10.58
1/1/2009 15:30,10.58
1/1/2009 15:40,10.87
1/1/2009 15:50,11.45
1/1/2009 16:00,11.74
1/1/2009 16:10,11.74
1/1/2009 16:20,12.03
1/1/2009 16:30,12.03
1/1/2009 16:40,12.32
1/1/2009 16:50,12.32
1/1/2009 17:00,12.32
1/1/2009 17:10,12.32
1/1/2009 17:20,12.61
1/1/2009 17:30,12.61
1/1/2009 17:40,12.89
1/1/2009 17:50,12.89
1/1/2009 18:00,12.89
1/1/2009 18:10,12.89
1/1/2009 18:20,13.18
1/1/2009 18:30,12.89
1/1/2009 18:40,12.89
1/1/2009 18:50,13.18
