Time_GMT,Temp_C
4/10/2012 20:53,12.93
4/10/2012 21:03,13.03
4/10/2012 21:13,13.03
4/10/2012 21:23,13.03
4/10/2012 21:33,13.03
4/10/2012 21:43,13.04
4/10/2012 21:53,12.96
4/10/2012 22:03,13.14
4/10/2012 22:13,13.16
4/10/2012 22:23,13.16
4/10/2012 22:33,13.16
4/10/2012 22:43,13.14
4/10/2012 22:53,13.16
4/10/2012 23:03,13.16
4/10/2012 23:13,13.15
4/10/2012 23:23,13.1
4/10/2012 23:33,13.04
4/10/2012 23:43,13.09
4/10/2012 23:53,13
4/11/2012 0:03,13
4/11/2012 0:13,13.04
4/11/2012 0:23,13.06
4/11/2012 0:33,13.08
4/11/2012 0:43,13.07
4/11/2012 0:53,13.05
4/11/2012 1:03,13.04
4/11/2012 1:13,13.02
4/11/2012 1:23,13.06
4/11/2012 1:33,13.12
4/11/2012 1:43,13.04
4/11/2012 1:53,12.99
4/11/2012 2:03,12.99
4/11/2012 2:13,13
4/11/2012 2:23,12.98
4/11/2012 2:33,12.99
4/11/2012 2:43,12.96
4/11/2012 2:53,12.99
4/11/2012 3:03,12.96
4/11/2012 3:13,12.97
4/11/2012 3:23,12.99
4/11/2012 3:33,13.01
4/11/2012 3:43,12.96
4/11/2012 3:53,13
4/11/2012 4:03,13.04
4/11/2012 4:13,13.01
4/11/2012 4:23,13
4/11/2012 4:33,13.01
4/11/2012 4:43,13.01
4/11/2012 4:53,13.03
4/11/2012 5:03,13
4/11/2012 5:13,13
4/11/2012 5:23,13.01
4/11/2012 5:33,13.01
4/11/2012 5:43,13.01
4/11/2012 5:53,13.03
4/11/2012 6:03,13.04
4/11/2012 6:13,12.97
4/11/2012 6:23,13.01
4/11/2012 6:33,13
4/11/2012 6:43,13.01
4/11/2012 6:53,13.05
4/11/2012 7:03,13
4/11/2012 7:13,13
4/11/2012 7:23,13.05
4/11/2012 7:33,13.04
4/11/2012 7:43,13.04
4/11/2012 7:53,13.04
4/11/2012 8:03,13.02
4/11/2012 8:13,13.02
4/11/2012 8:23,13.04
4/11/2012 8:33,13.03
4/11/2012 8:43,13.01
4/11/2012 8:53,13.01
4/11/2012 9:03,13.01
4/11/2012 9:13,13.01
4/11/2012 9:23,13.01
4/11/2012 9:33,12.96
